NCM,Descrição,Alíquota (%)
01012100;Reprodutores de raça pura;NT
01012900;Outros;NT
01013000;Asininos;NT
01019000;Outros;NT
01022110;Prenhes ou com cria ao pé;NT
01022190;Outros;NT
01022911;Prenhes ou com cria ao pé;NT
01022919;Outros;NT
01022990;Outros;NT
01023110;Prenhes ou com cria ao pé;NT
01023190;Outros;NT
01023911;Prenhes ou com cria ao pé;NT
01023919;Outros;NT
01023990;Outros;NT
01029000;Outros;NT
01031000;Reprodutores de raça pura;NT
01039100;De peso inferior a 50 kg;NT
01039200;De peso igual ou superior a 50 kg;NT
01041011;Prenhes ou com cria ao pé;NT
01041019;Outros;NT
01041090;Outros;NT
01042010;Reprodutores de raça pura;NT
01042090;Outros;NT
01051110;De linhas puras ou híbridas, para reprodução;NT
01051190;Outros;NT
01051200;Peruas e perus;NT
01051300;Patos;NT
01051400;Gansos;NT
01051500;Galinhas-d'angola (pintadas);NT
01059400;Aves da espécie Gallus domesticus;NT
01059900;Outros;NT
01061100;Primatas;NT
01061200;Baleias,  golfinhos e botos (mamíferos da  ordem Cetacea);  peixes- boi (manatins) e dugongos (mamíferos da ordem Sirenia); otárias e focas,    leões-marinhos    e    morsas    (mamíferos    da    subordem Pinnipedia);NT
01061300;Camelos e outros camelídeos (Camelidae);NT
01061400;Coelhos e lebres;NT
01061900;Outros;NT
01062000;Répteis (incluindo as serpentes e as tartarugas marinhas);NT
01063100;Aves de rapina;NT
01063200;Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas);NT
01063310;Avestruzes (Struthio camelus), para reprodução;NT
01063390;Outros;NT
01063900;Outras;NT
01064100;Abelhas;NT
01064900;Outros;NT
01069000;Outros;NT
02011000;Carcaças e meias-carcaças;0
02012010;Quartos dianteiros;0
02012020;Quartos traseiros;0
02012090;Outras;0
02013000;Desossadas;0
02021000;Carcaças e meias-carcaças;0
02022010;Quartos dianteiros;0
02022020;Quartos traseiros;0
02022090;Outras;0
02023000;Desossadas;0
02031100;Carcaças e meias-carcaças;0
02031200;Pernas, pás e respectivos pedaços, não desossados;0
02031900;Outras;0
02032100;Carcaças e meias-carcaças;0
02032200;Pernas, pás e respectivos pedaços, não desossados;0
02032900;Outras;0
02041000;Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas;0
02042100;Carcaças e meias-carcaças;0
02042200;Outras peças não desossadas;0
02042300;Desossadas;0
02043000;Carcaças e meias-carcaças de cordeiro, congeladas;0
02044100;Carcaças e meias-carcaças;0
02044200;Outras peças não desossadas;0
02044300;Desossadas;0
02045000;Carnes de animais da espécie caprina;0
02050000;Carnes  de  animais  das  espécies  cavalar,  asinina  e  muar,  frescas, refrigeradas ou congeladas.;0
02061000;Da espécie bovina, frescas ou refrigeradas;0
02062100;Línguas;0
02062200;Fígados;0
02062910;Rabos;0
02062990;Outros;0
02063000;Da espécie suína, frescas ou refrigeradas;0
02064100;Fígados;0
02064900;Outras;0
02068000;Outras, frescas ou refrigeradas;0
02069000;Outras, congeladas;0
02071100;Não cortadas em pedaços, frescas ou refrigeradas;0
02071200;Não cortadas em pedaços, congeladas;0
02071300;Pedaços e miudezas, frescos ou refrigerados;0
02071400;Pedaços e miudezas, congelados;0
02072400;Não cortadas em pedaços, frescas ou refrigeradas;0
02072500;Não cortadas em pedaços, congeladas;0
02072600;Pedaços e miudezas, frescos ou refrigerados;0
02072700;Pedaços e miudezas, congelados;0
02074100;Não cortadas em pedaços, frescas ou refrigeradas;0
02074200;Não cortadas em pedaços, congeladas;0
02074300;Fígados gordos (foies gras), frescos ou refrigerados;0
02074400;Outras, frescas ou refrigeradas;0
02074500;Outras, congeladas;0
02075100;Não cortadas em pedaços, frescas ou refrigeradas;0
02075200;Não cortadas em pedaços, congeladas;0
02075300;Fígados gordos (foies gras), frescos ou refrigerados;0
02075400;Outras, frescas ou refrigeradas;0
02075500;Outras, congeladas;0
02076000;De galinhas-d'angola (pintadas);0
02081000;De coelhos ou lebres;0
02083000;De primatas;0
02084000;De  baleias,  golfinhos  e  botos  (mamíferos  da  ordem  Cetacea);  de peixes-boi  (manatins) e dugongos (mamíferos da  ordem Sirenia); de otárias  e  focas,  leões-marinhos  e  morsas  (mamíferos  da  subordem Pinnipedia);0
02085000;De répteis (incluindo as serpentes e as tartarugas marinhas);0
02086000;De camelos e outros camelídeos (Camelidae);0
02089000;Outras;0
02091011;Fresco, refrigerado ou congelado;0
02091019;Outros;0
02091021;Fresca, refrigerada ou congelada;0
02091029;Outras;0
02099000;Outros;0
02101100;Pernas, pás e respectivos pedaços, não desossados;0
02101200;Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços;0
02101900;Outras;0
02102000;Carnes da espécie bovina;0
02109100;De primatas;0
02109200;De  baleias,  golfinhos  e  botos  (mamíferos  da  ordem  Cetacea);  de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias  e  focas,  leões-marinhos  e  morsas  (mamíferos  da  subordem Pinnipedia);0
02109300;De répteis (incluindo as serpentes e as tartarugas marinhas);0
02109900;Outras;0
03011110;Aruanã (Osteoglossum bicirrhosum);NT
03011190;Outros;NT
03011900;Outros;NT
03019110;Para reprodução;NT
03019190;Outras;NT
03019210;Para reprodução;NT
03019290;Outras;NT
03019310;Para reprodução;NT
03019390;Outras;NT
03019410;Para reprodução;NT
03019490;Outras;NT
03019510;Para reprodução;NT
03019590;Outros;NT
03019911;Tilápias  (Tilapia  spp.,  Oreochromis  spp.,  Sarotherodon  spp., Danakilia spp.; seus híbridos);NT
03019912;Esturjões     (Acipenser     baerii,     Acipenser     gueldenstaedtii, Acipenser persicus, Acipenser stellatus);NT
03019919;Outros;NT
03019991;Tilápias  (Tilapia  spp.,  Oreochromis  spp.,  Sarotherodon  spp., Danakilia spp.; seus híbridos);NT
03019992;Esturjões     (Acipenser     baerii,     Acipenser     gueldenstaedtii, Acipenser persicus, Acipenser stellatus);NT
03019999;Outros;NT
03021100;Trutas  (Salmo  trutta,  Oncorhynchus mykiss,  Oncorhynchus  clarki, Oncorhynchus   aguabonita,   Oncorhynchus   gilae,   Oncorhynchus apache e Oncorhynchus chrysogaster);0
03021300;Salmões-do-pacífico      (Oncorhynchus      nerka,      Oncorhynchus gorbuscha,    Oncorhynchus    keta,    Oncorhynchus    tschawytscha, Oncorhynchus   kisutch,   Oncorhynchus   masou   e   Oncorhynchus rhodurus);0
03021400;Salmão-do-atlântico  (Salmo  salar)  e  salmão-do-danúbio  (Hucho hucho);0
03021900;Outros;0
03022100;Linguados-gigantes    (Alabotes*)    (Reinhardtius   hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);0
03022200;Solha (Pleuronectes platessa);0
03022300;Linguados (Solea spp.);0
03022400;Pregado (Psetta maxima);0
03022900;Outros;0
03023100;Albacora-branca (Atum*) (Thunnus alalunga);0
03023200;Albacora-laje (Atum*) (Thunnus albacares);0
03023300;Bonito-listrado (Gaiado*);0
03023400;Albacora-bandolim (Atum*) (Thunnus obesus);0
03023500;Atuns-azuis (Atuns*) (Thunnus thynnus, Thunnus orientalis);0
03023600;Atum-azul do sul (Atum*) (Thunnus maccoyii);0
03023900;Outros;0
03024100;Arenques (Clupea harengus, Clupea pallasii);0
03024210;Anchoita (Engraulis anchoita);0
03024290;Outros;0
